Link	Name	Acronym	Co-located	Submission	Notification	Conference	Location
https://acsty2020.org/aibd/index.html	International Conference on Artificial Intelligence and Big Data	AIBD 2020			Mar 24	Apr 25 - Apr 26	Copenhagen, Denmark
https://aaai.org/Conferences/AAAI-20/	34th AAAI Conference on Artificial Intelligence	AAAI 2020		Sep 05, 2019	Nov 10, 2019	Feb 07 - Feb 12	New York, USA
https://sites.google.com/view/affcon2020/call-for-papers	Interactive Affective Response	AffCon 2020	AAAI 2020	Nov 15, 2019	Dec 04, 2019	Feb 07 - Feb 08	New York, USA
https://rcqa-ws.github.io/	Reasoning for Complex Question Answering Workshop	RCQA	AAAI 2020	Nov 15, 2019	Dec 04, 2019	Feb 07 - Feb 08	New York, USA
https://sites.google.com/view/spoken-language-track/home	Spoken Language Processing and Conversational Systems Special Track	SLP-CS Track	FLAIRS-33	Nov 18, 2019	Jan 20	May 17 - May 20	North Miami Beach, USA
http://www.icaart.org/	12th International Conference on Agents and Artificial Intelligence - ICAART 2020	ICAART 2020		Nov 24, 2019	Jan 03	Mar 22 - Mar 24	Valletta, Malta
http://www.icpram.org/	9th International Conference on Pattern Recognition Applications and Methods - ICPRAM 2020	ICPRAM 2020		Nov 24, 2019	Jan 03	Mar 22 - Mar 24	Valletta, Malta
https://lrec2020.lrec-conf.org/en/	12th Edition of its Language Resources and Evaluation Conference	LREC 2020		Dec 02, 2019	Feb 13	May 13 - May 15	Marseille, France
https://urldefense.proofpoint.com/v2/url?u=https-3A__sites.google.com_view_hccs2020_&d=DwIDaQ&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=AXC-hYBA3YFX4EzeW167sL6TEK22wlf9AB1wZvzW34c&m=HvuNjwTw2SZmzPxVtjjOGpg84KbT5tDi23gq2pY8zSI&s=PvbO9LvDo7oZ96gEH1eLzJxiIxYhJVLC7VKu2goJ2bA&e=	Second Workshop on Human-Centered Computational Sensing	HCCS’20	PerCom 2020	Dec 02, 2019	Dec 20, 2019	Mar 23	Austin, Texas
https://acl2020.org/	2020 Annual Conference of the Association for Computational Linguistics	ACL 2020		Dec 09, 2019	Apr 03	Jul 06 - Jul 08	Online
https://users.encs.concordia.ca/~icprai20/	Second International Conference on Pattern Recognition and Artificial Intelligence	ICPRAI 2020		Dec 15, 2019	Jan 25	Oct 19 - Oct 23	Online
http://www.icaart.org/NLPinAI.aspx?y=2020	Natural Language Processing in Artificial Intelligence	NLPinAI 2020	ICAART 2020	Dec 19, 2019	Jan 09	Feb 22 - Feb 24	Valletta, Malta
https://www.aclweb.org/portal/content/user2agent-2nd-workshop-user-aware-conversational-agents	The 2nd Workshop on User-Aware Conversational Agents	user2agent	ACM IUI 2020	Dec 20, 2019	Jan 14	Mar 17	Cagliari, Italy
https://www.ukclc2020.com/	International Conference of the UK Cognitive Linguistics Association	UK-CLC		Dec 30, 2019	Mar 01	Jul 27 - Jul 30	Birmingham, UK
http://www.colips.org/workshop/humic-dial2020/humic	Designing Humour in Human Computer Interaction with focus on dialogue technology	HUMIC-DIAL 2020	IWSDS2020	Jan 10		May 18 - May 20	Madrid, Spain
https://www.iwsds.tech/home	11th International Workshop on Spoken Dialog System Technology	IWSDS2020		Jan 10	Feb 07	May 18 - May 20	Madrid, Spain
http://www.complexis.org/	5th International Conference on Complexity, Future Information Systems and Risk	COMPLEXIS 2020	INSTICC	Jan 13	Mar 12	Jun 08 - Jun 09	Prague, Czech Republic
http://www.csedu.org/	12th International Conference on Computer Supported Education CSEDU	CSEDU 2020	INSTICC	Jan 13	Mar 12	Jun 02 - Jun 04	Prague, Czech Republic
https://www.ijcai20.org/	29th International Joint Conference on Artificial Intelligence and the 17th Pacific Rim International Conference on Artificial Intelligence	IJCAI-PRICAI 2020		Jan 15	Apr 19	Jan 01, 2021	Japan
http://www.bibalex.org/ESOLEC2020	The Nineteenth Conference on Language Engineering (ESOLEC’19)	ESOLEC’19		Jan 15	Feb 01	Mar 28 - Mar 31	Alexandria, Egypt
https://www.caiac.ca/en/conferences/canadianai-2020/home	The 33rd Canadian Conference on Artificial Intelligence	Canadian AI 2020		Jan 17	Feb 21	May 13 - May 15	Ottawa, Canada
http://healtex.org/healtac-2020/	Healthcare Text Analytics Conference	HealTAC 2020		Jan 20	Feb 23	Apr 23 - Apr 24	London, UK
https://hbuschme.github.io/nlg-hri-workshop-2020/	2nd workshop on Natural Language Generation for Human-robot Interaction	NLG4HRI	HRI 2020	Jan 24	Jan 31	Mar 23	Cambridge, United Kingdom
https://www.dcai-conference.net/special-sessions/nla20	Special Session on Natural Language and Argumentation 2020	NLA'20	DCAI'20	Jan 31	Mar 09	Jun 17 - Jun 19	L'Aquila, Italy
https://2020.misdoom.org/	2nd Multidisciplinary International Symposium on Disinformation in Open Online Media	MISDOOM 2020		Feb 01	Feb 29	Apr 20 - Apr 22	Leiden, the Netherlands
http://nldb.org/	25th International Conference on Natural Language & Information Systems	NLDB2020		Feb 01	Mar 15	Jun 24 - Jun 26	Saarbrücken, Germany
https://www.bibalex.org/ESOLEC2020/home/home.aspx	The 19th Conference of Language Engineering	ESOLEC’19		Feb 05	Feb 15	Mar 29 - Mar 30	Alexandria, Egypt
https://www.akbc.ws/2020/	2nd Conference on Automated Knowledge Base Construction	AKBC		Feb 06	Apr 20	Jun 22 - Jun 24	Irvine, USA
https://sites.google.com/view/trac/home	Second Workshop on Trolling, Aggression and Cyberbullying	TRAC – 2	LREC 2020	Feb 07	Mar 13	May 16	Marseille, France
https://sites.google.com/view/pam2020/instructions-for-authors	Probability and Meaning Conference	PaM2020		Feb 12		Jun 03 - Jun 05	Gothenburg, Sweden
https://grafematik2020.sciencesconf.org/	Grapholinguistics in the 21st Century 2020	G21C 2020		Feb 13	Apr 30	Jul 17 - Jul 19	Paris, France
https://uni-bielefeld.de/fakultaeten/linguistik-literaturwissenschaft/forschung/fachbereich/phonetik/laughter-workshop/index.xml	Workshop on Laughter and Non-Verbal Vocalisations			Feb 14	Mar 31	Jun 15 - Jun 16	Bielefeld, Germany
https://www.clarin.eu/ParlaCLARIN-II	workshop on creating, using and linking parliamentary corpora with other types of political discourse	ParlaCLARIN II	LREC 2020	Feb 14	Mar 13	May 12	Marseille, France
http://sltu-ccurl-2020.ilc.cnr.it/	1st Joint SLTU (Spoken Language Technologies for Under-resourced languages) and CCURL (Collaboration and Computing for Under-Resourced Languages) Workshop	STLU-CCURL	LREC 2020	Feb 14	Mar 13	May 11 - May 12	Marseille, France
https://lrec2020.lrec-conf.org/media/filer_public/ad/d9/add94164-2f16-43e5-ab2d-02594d5d56b9/cfp-readi_lrec2020.pdf	Workshop on Tools and Resources to Empower People with REAding DIfficulties	READI	LREC 2020	Feb 14	Mar 13	May 11	Marseille, France
https://sites.google.com/view/nlp-arches-2020/home	NLP architectures in the age of end-to-end deep-learning systems	NLP-ARCHES 2020	LREC 2020	Feb 14	Mar 13	May 12	Marseille, France
https://social-threats.github.io/	Workshop on Social Threats in Online Conversations: Understanding and Management	STOC 2020	LREC 2020	Feb 14	Mar 13	May 11	Marseille, France
http://hitz.eus/multimodalwordnets2020/	Multimodal wordnets workshop	MMWN2020	LREC 2020	Feb 14	Mar 13	May 11	Marseille, France
https://onion2020.github.io/	Workshop on peOple in laNguage, vIsiOn and the miNd	ONION 2020	LREC 2020	Feb 14	Mar 13	May 16	Palais du Pharo, France
http://temu.bsc.es/multilingualbio2020/	2nd Workshop on MultilingualBIO: Multilingual Biomedical Text Processing	MultilingualBIO	LREC 2020	Feb 14	Mar 13	May 16	Marseille, France
https://rest-up2020.di.unito.it/	1st Workshop on Resources and Techniques for User and Author Profiling in Abusive Language	ResT-UP	LREC 2020	Feb 15	Mar 08	May 12	Marseille, France
http://corpora.ids-mannheim.de/cmlc-2020.html	Challenges in the Management of Large Corpora 8	CMLC-8	LREC 2020	Feb 16	Mar 12	May 16	Marseille, France
https://spraakbanken.gu.se/eng/rapid-2020	Resources and ProcessIng of linguistic, para-linguistic and extra-linguistic Data from people with various forms of cognitive/psychiatric/developmental impairments	RaPID-3	LREC 2020	Feb 16	Mar 15	May 11	Marseille, France
https://sites.google.com/view/gecko2020	Integrating Generic and Contextual Knowledge Symposium	GeCKo		Feb 16	Mar 13	May 18	Barcelona, Spain
http://ldl2020.linguistic-lod.org/cfp.html	7th Workshop on Linked Data in Linguistics	LDL-2020	LREC 2020	Feb 16	Mar 13	May 11	Marseille, France
http://bit.ly/sadilar_rail2020	First workshop on Resources for African Indigenous Language	RAIL	LREC 2020	Feb 16	Mar 13	May 16	Marseille, France
https://circse.github.io/LT4HALA/	1st Workshop on Language Technologies for Historical and Ancient LAnguages	LT4HALA	LREC 2020	Feb 17	Mar 10	May 12	Marseille, France
https://www.plantl.gob.es/tecnologias-lenguaje/comunicacion-formacion/eventos/Paginas/lt4gov.aspx	Language Technologies for Government and Public Administration	LT4Gov	LREC 2020	Feb 17	Mar 13	May 11 - May 16	Palais du Pharo, France
https://lincr2020.github.io/	2nd Workshop on Linguistic and Neurocognitive Resources	LiNCR	LREC 2020	Feb 17	Mar 11	May 12	Palais du Pharo, France
https://www.clarin.eu/LR4SSHOC	LREC2020 workshop about Language Resources for the SSH Cloud	LR4SSHOC	LREC 2020	Feb 19	Mar 11	May 11	Marseille, France
https://events.unibo.it/uccts2020	Using Corpora in Contrastive and Translation Studies	UCCTS 2020		Feb 21	Apr 02	Sep 07 - Sep 09	Bertinoro, Italy
https://www.european-language-grid.eu/iwltp-2020/	1st INTERNATIONAL WORKSHOP ON LANGUAGE TECHNOLOGY PLATFORMS	IWLTP 2020	LREC 2020	Feb 21	Mar 13	May 16	Marseille, France
https://sigsem.uvt.nl/isa16/	16th Joint ACL - ISO Workshop on Interoperable Semantic Annotation	ISA-16	LREC 2020	Feb 25	Mar 16	May 12	Marseille, France
https://www.irit.fr/CIRCLE	Joint Conference of the Information Retrieval Communities in Europe	CIRCLE 2020		Feb 28	Apr 30	Jul 06 - Jul 09	Samatan, France
http://www.ccl.kuleuven.be/HPSG2020/	27th International Conference on Head-driven Phrase Structure Grammar	HPSG 2020		Feb 29	May 01	Aug 17 - Aug 19	Leuven, Belgium
https://sites.google.com/view/acl20studentresearchworkshop/	ACL 2020 Student Research Workshop	ACL 2020 SRW	ACL 2020	Mar 06	Apr 06	Jul 05 - Jul 10	Seattle, USA
https://eamt2020.inesc-id.pt/	The 22th Annual Conference of the European Association for Machine Translation	EAMT 2020		Mar 06	Apr 03	May 04 - May 06	Lisbon, Portugal
http://www.sigdial.org/workshops/conference21/	The 21st Annual Meeting of the Special Interest Group on Discourse and Dialogue	SIGDIAL 2020		Mar 06	Apr 26	Jul 01 - Jul 03	Boise, USA
http://www.sigdial.org/workshops/conference21/	The 21st Annual Meeting of the Special Interest Group on Discourse and Dialogue	SIGDIAL 2020		Mar 06	Apr 26	Jul 01 - Jul 03	Boise, USA
http://fg.phil.hhu.de/2020/	The 25th Conference on Formal Grammar	FG 2020		Mar 15	May 06	Aug 08 - Aug 09	Utrecht, The Netherlands
https://aclweb.org/aclwiki/BioNLP_Workshop	Workshop on Biomedical Natural Language Processing	BioNLP 2020	ACL 2020	Mar 20	Apr 24	Jul 09	Online
http://cognition.ouc.ac.cy/cognitar/	Workshop on Computational Argumentation & Cognition	COGNITAR 2020	ECAI 2020	Mar 23	Apr 22	Jun 09	Santiago de Compostela, Spain
https://sig-edu.org/bea/current	15th Workshop on Innovative Use of NLP for Building Educational Applications	BEA15	ACL 2020	Apr 06	May 04	Jul 09 - Jul 10	Seattle, USA
https://sites.google.com/view/wngt20	4th Workshop on Neural Generation and Translation	WNGT 2020	ACL 2020	Apr 06	May 04	Jul 09 - Jul 10	Samatan, France
http://alvr-workshop.github.io/	First Workshop on Advances in Language and Vision Research	ALVR 2020	ACL 2020	Apr 06	May 04	Jul 09	Online
https://fever.ai/index.html	The Third Workshop on Fact Extraction and Verification	FEVER 3	ACL 2020	Apr 06	May 04	Jul 09	Online
http://www.winlp.org/winlp-2020-workshop/	Widening NLP	WiNLP 2020	ACL 2020	Apr 10	May 08	Jul 05	Online
https://iwpt20.sigparse.org/	The 16th International Conference on Parsing Technologies	IWPT 2020	ACL 2020	Apr 10	May 04	Jul 09	Online
http://socialsens.web.illinois.edu/index.html	5th International Workshop on Social Sensing	SocialSens 2020	ICWSM-2020	Apr 10	May 01	Jun 08	Atlanta, USA
http://iwslt.org/	The International Conference on Spoken Language Translation	IWSLT 2020	ACL 2020	Apr 13	May 11	Jul 09 - Jul 10	Online
https://www.tsdconference.org/tsd2020/	Twenty-third International Conference on TEXT, SPEECH and DIALOGUE	TSD 2020		Apr 17	Jun 05	Sep 08 - Sep 11	Brno, Czech Republic
https://2020-eu.semantics.cc/calls	16th International Conference on Semantic Systems	SEMANTiCS EU		Apr 18	Jun 08	Sep 07 - Sep 10	Amsterdam, Netherlands
https://sites.google.com/view/nuse	1st Joint Workshop on Narrative Understanding, Storylines, and Events	NUSE	ACL 2020	Apr 27	May 08	Jul 09	Online
http://alt.qcri.org/semeval2020/	SemEval 2020 Task 5: Modelling Causal Reasoning in Language: Detecting Counterfactuals	SemEval 2020 Task 5	COLING 2020	May 01	Jun 24	Dec 12 - Dec 13	Barcelona, Spain
http://www.sigcnl.org/cnl2020.html	7th International Workshop on Controlled Natural Language	CNL 2020	SEMANTiCS 2020	May 02	Jun 15	Sep 10 - Sep 11	Amsterdam, Netherlands
https://sighum.wordpress.com/events/latech-clfl-2020/	The 4th Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature	LaTeCH-CLfL 2020	COLING 2020	May 20	Jun 24	Sep 13	Barcelona, Spain
http://multiword.sourceforge.net/mwelex2020	Joint Workshop on Multiword Expressions and Electronic Lexicons	MWE-LEX 2020	COLING 2020	May 20	Jun 24	Sep 14	Barcelona, Spain
https://genderbiasnlp.talp.cat/	2nd Workshop on Gender Bias for Natural Language Processing	GeBNLP2020	COLING 2020	May 20	Jun 24	Sep 13 - Sep 14	Barcelona, Spain
http://www.netcopia.net/nlp4if/	Third Workshop on NLP for Internet Freedom	NLP4IF	COLING 2020	May 20	Jun 24	Sep 13	Barcelona, Spain
https://sites.google.com/view/crac2020	The 3rd Workshop on Computational Models of Reference, Anaphora and Coreference	CRAC 2020	COLING 2020	May 20	Jun 24	Sep 13 - Sep 14	Barcelona, Spain
https://argmining2020.i3s.unice.fr/	7th Workshop on Argument Mining	Arg Mining 2020	COLING 2020	May 20	Jun 24	Sep 14	Barcelona, Spain
https://sites.google.com/view/textgraphs2020	TextGraphs 2020	TextGraphs	COLING	May 20	Jun 24	Sep 14	Barcelona, Spain
https://ecomnlp.github.io/index.html	Workshop on NLP in E-Commerce 2020	EComNLP'2020	COLING 2020	May 20	Jun 24	Sep 13	Barcelona, Spain
http://www.icinco.org/	17th International Conference on Informatics in Control, Automation and Robotics	ICINCO 2020		May 29		Aug 07 - Oct 07	Lieusaint - Paris, France
http://wp.lancs.ac.uk/cfie/fns2020/	Financial Narrative Summarisation shared task	FNS-2020	COLING 2020	Jun 01		Dec 12	Barcelona, Spain
https://2020.emnlp.org/	The 2020 Conference on Empirical Methods in Natural Language Processing	EMNLP 2020		Jun 01	Sep 14	Nov 16 - Nov 20	Online
https://sites.google.com/site/centretranslationinnovation/conferences-workshops/tt5-2020	Translation in Transition: Human and Machine Intelligence	TT5		Jun 15	Jul 29	Nov 15 - Nov 17	Kent State University, Ohio, USA
http://aacl2020.org/calls/papers/	Asia-Pacific Chapter of the Association for Computational Linguistics and the 9th International Joint Conference on Natural Language Processing			Jun 26	Sep 11	Dec 04 - Dec 07	Suzhou, China
https://csita2020.org/mlcl/index.html	International Conference on Machine learning and Cloud Computing	MLCL 2020		Jun 28		Jul 20 - Jul 21	Dubai, UAE
https://coling2020.org/	The 28th International Conference on Computational Linguistics	COLING 2020		Jul 01	Oct 01	Dec 08 - Dec 13	Barcelona, Spain
http://wp.lancs.ac.uk/cfie/fnp2020/	1st Joint Workshop on Financial Narrative Processing and MultiLing Financial Summarisation	FNP-FNS 2020	COLING 2020	Jul 01	Oct 01	Dec 12	Barcelona, Spain
http://wp.lancs.ac.uk/cfie/fincausal2020/	Causality Identification in Financial Documents shared task	FinCausal 2020 Shared Task	COLING 2020	Jul 01	Oct 01	Dec 12	Barcelona, Spain
http://wp.lancs.ac.uk/cfie/fintoc2020/	Financial Document Processing Table Of Contents Shared Task	FinTOC2020	COLING 2020	Jul 01	Oct 01	Dec 12	Barcelona, Spain
https://www.conll.org/2020	The SIGNLL Conference on Computational Natural Language Learning	CoNLL 2020	EMNLP 2020	Jul 17	Sep 18	Nov 19 - Nov 20	Online
https://sites.google.com/view/starsem2020/	The 9th Joint Conference on Lexical and Computational Semantics	*SEM 2020	COLING 2020	Jul 20	Sep 21	Dec 12 - Dec 13	Barcelona, Spain
https://nettt-conference.com/	International Conference ‘New Trends in Translation and Technology’	NeTTT’2020		Jul 20	Aug 17	Sep 28 - Sep 30	Rhodes Island, Greece
http://aacl2020.org/	1st Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics and the 9th International Joint Conference on Natural Language Processing	AACL-IJCNLP		Jul 26	Oct 11	Jan 04, 2021 - Jan 07, 2021	Suzhou, China
https://ohars-recsys2020.isistan.unicen.edu.ar/	Workshop on Online Misinformation- and Harm-Aware Recommender Systems	PEOPLES 2020	RecSys 2020	Jul 29	Aug 21	Sep 25	Online
https://www.iaria.org/conferences2020/filesSEMAPRO20/SemaNLP.pdf	Semantic Methods for Natural Language Processing	SemaNLP		Aug 01	Aug 21	Oct 25 - Oct 29	Nice, France
https://nlposs.github.io/2020/	Workshop for NLP Open Source Software	NLP-OSS 2020	EMNLP 2020	Aug 05	Sep 10	Nov 19 - Nov 20	Online
https://louhi2020.fbk.eu/	11th International Workshop on Health Text Mining and Information Analysis	LOUHI 2020	EMNLP 2020	Aug 08	Sep 29	Nov 20	Online
https://ornlcda.github.io/SDProc/	1st Workshop on Scholarly Document Processing and Shared Tasks	SDP 2020	EMNLP 2020	Aug 15	Sep 29	Nov 19	Online
https://sigtyp.github.io/	The Second Workshop on Computational Research in Linguistic Typology	SIGTYP 2020	EMNLP 2020	Aug 15	Sep 29	Nov 19	Online
https://insights-workshop.github.io/	Workshop on Insights from Negative Results		EMNLP 2020	Aug 15	Sep 29	Nov 19	Online
https://sites.google.com/view/vardial2020/home	Seventh Workshop on NLP for Similar Languages, Varieties and Dialects	VarDial	COLING 2020	Aug 17	Sep 25	Dec 13	Barcelona, Spain
https://structuredprediction.github.io/SPNLP20	4th Workshop on Structured Prediction for NLP	SPNLP20	EMNLP 2020	Aug 20	Sep 29	Nov 20	Online
https://codi-workshop.github.io/	1st Workshop on Computational Approaches to Discourse	CODI 2020	EMNLP 2020	Aug 23	Sep 29	Nov 19	Online
https://sites.google.com/view/deelio-ws/	Deep Learning Inside Out	DeeLIO	EMNLP 2020	Aug 24	Sep 29	Nov 19	Online
https://www.cs.brandeis.edu/~clp/dmr2020/	The Second International Workshop on Designing Meaning Representations	DMR 2020	COLING 2020	Aug 24	Oct 07	Dec 13	Barcelona, Spain
https://www.naturallang.com/post-editing/	1st Workshop on Post-Editing in Modern-Day Translation	PEMDT1	AMTA 2020	Aug 26	Sep 17	Oct 06	Online
https://ohars-recsys2020.isistan.unicen.edu.ar/	19th International Workshop on Treebanks and Linguistic Theories	TLT 2020		Aug 28	Sep 30	Oct 27 - Oct 28	Düsseldorf, Germany
https://www.inlg2020.org/	The 13th International Conference on Natural Language Generation	INLG2020		Aug 30	Sep 30	Dec 15 - Dec 18	Dublin, Ireland
https://scai.info/2020/	The 5th International Workshop on Search-Oriented Conversational AI	SCAI	EMNLP 2020	Aug 30	Sep 29	Nov 19 - Nov 20	Online
https://sites.google.com/view/nlpbt-2020	NLP Beyond Text	NLPBT 2020	EMNLP 2020	Aug 31	Sep 29	Nov 20	Online
https://sites.google.com/view/wanlp-2020	The 5th Arabic Natural Language Processing Workshop	WANLP-5 2020	COLING 2020	Sep 01	Oct 01	Dec 12	Barcelona, Spain
https://sites.google.com/view/cogalex-2020	Cognitive Aspects of the Lexicon	CogALex VI	COLING	Sep 01	Oct 10	Dec 12	Barcelona, Spain
https://universaldependencies.org/udw20/cfp.html	Universal Dependencies Workshop 2020	UDW 2020	COLING 2020	Sep 04	Oct 09	Dec 13	Barcelona, Spain
https://www.pheme.eu/rdsm2020/	Third International Workshop on Rumours and Deception in Social Media	RDSM	COLING 2020	Sep 04	Oct 09	Dec 13	Barcelona, Spain
https://peopleswksh.github.io/	THIRD WORKSHOP ON COMPUTATIONAL MODELING OF PEOPLE’S OPINIONS, PERSONALITY, AND EMOTIONS IN SOCIAL MEDIA	PEOPLES 2020	COLING 2020	Sep 14	Oct 16	Dec 13	Barcelona, Spain
https://hbuschme.github.io/nlg-hri-workshop-2020/	2nd Workshop on NLG for HRI	NLG4HRI	INLG2020	Sep 15	Oct 15	Dec 15	Online
http://www.dfki.de/semdeep-6/	6th Workshop on Semantic Deep Learning	SemDeep-6	IJCAI-PRICAI 2020	Sep 17	Sep 30	Jan 01, 2021	Japan
https://evalnlg-workshop.github.io/	1st Workshop on Evaluating NLG Evaluation	EvalNLGEval	INLG2020	Sep 20	Oct 20	Dec 18	Online
https://aisca2020.org/	4th International Conference on Artificial Intelligence, Soft Computing And Applications	AISCA 2020		Sep 30		Dec 28 - Dec 29	[Virtual]Dubai, UAE
http://www.iitp.ac.in/~ai-nlp-ml/icon2020/	17th International Conference on Natural Language Processing	ICON-2020		Sep 30	Nov 10	Dec 18 - Dec 21	Online
https://2021.eacl.org/	The 16th Conference of the European Chapter of the Association for Computational Linguistics	EACL 2021		Oct 07	Jan 11, 2021	Apr 19, 2021 - Apr 23, 2021	Online
http://taln.upf.edu/pages/msr2020-ws/	3rd Workshop on Multilingual Surface Realisation	MSR 2020	COLING 2020	Oct 08	Oct 20	Dec 12	Barcelona, Spain
https://sites.google.com/view/sdu-aaai21	The AAAI-21 Workshop on Scientific Document Understanding	SDU@AAAI-21	AAAI-21	Nov 09	Nov 30	Feb 08, 2021 - Feb 09, 2021	Online
http://www.icaart.org/NLPinAI.aspx?y=2021	Natural Language Processing in Artificial Intelligence	NLPinAI 2021	ICAART 2021	Nov 26	Dec 14	Feb 04, 2021 - Feb 06, 2021	Online
http://2021.ldk-conf.org/	Third Biennial Conference on Language, Data and Knowledge	LDK2021		Feb 05, 2021	Mar 26, 2021	Jun 15, 2021 - Jun 16, 2021	Zaragoza, Spain